PlzValue;FirstCityName
06313;Hergisdorf
06317;Seegebiet Mansfelder Land
06333;Endorf
06343;Mansfeld
06347;Gerbstedt
06366;K??then
06369;Dohndorf
06385;Aken
06386;Fra??dorf
06388;Edderitz
06406;Bernburg
06408;Ilberstedt
06420;K??nnern
06425;Pl??tzkau
06429;Nienburg
06449;Friedrichsaue
06456;Arnstein
06458;Hedersleben
06463;Ermsleben
06464;Frose
06466;Gatersleben
06467;Hoym
06469;Nachterstedt
06484;Ditfurt
06485;Quedlinburg
06493;Harzgerode
06502;Thale
06526;Sangerhausen
06528;Edersleben
06536;S??dharz
06537;Kelbra
06542;Allstedt
06543;Pansfelde
06556;Heygendorf
06567;Bad Frankenhausen
06571;Donndorf
06577;Etzleben
06578;Kannawurf
06618;Mertendorf
06628;Naumburg
06632;Freyburg
06636;Laucha
06638;Karsdorf
06642;Nebra
06647;Finneland
06648;Eckartsberga
06667;Goseck
06679;Hohenm??lsen
06682;Teuchern
06686;L??tzen
06688;Wei??enfels
06711;Zeitz
06712;Kretzschau
06721;Osterfeld
06722;Droy??ig
06729;Elsteraue
06749;Bitterfeld-Wolfen
06766;Bitterfeld-Wolfen
06772;Gr??fenhainichen
06773;Gr??fenhainichen
06774;Muldestausee
06779;Raguhn-Je??nitz
06780;Z??rbig
06785;Oranienbaum-W??rlitz
06792;Sandersdorf
06794;Glebitzsch
06796;Brehna
06800;Raguhn-Je??nitz
06803;Bitterfeld-Wolfen
06808;Bitterfeld-Wolfen
06809;Petersroda
06842;Dessau-Ro??lau
06844;Dessau-Ro??lau
06846;Dessau-Ro??lau
06847;Dessau-Ro??lau
06849;Dessau-Ro??lau
06861;Dessau-Ro??lau
06862;Dessau-Ro??lau
06868;Coswig
06869;Coswig
06886;Lutherstadt Wittenberg
06888;Lutherstadt Wittenberg
06889;Lutherstadt Wittenberg
06895;Zahna-Elster
06901;Kemberg
06905;Bad Schmiedeberg
06917;Jessen
06925;Annaburg
07318;Saalfeld
07330;Probstzella
07333;Unterwellenborn
07334;Kamsdorf
07338;Drognitz
07343;Wurzbach
07349;Lehesten
07356;Bad Lobenstein
07366;Harra
07368;Remptendorf
07381;D??britz
07387;Kr??lpa
07389;Gertewitz
07407;Rudolstadt
07422;Saalfelder H??he
07426;Dr??bischau
07427;Schwarzburg
07429;D??schnitz
07545;Gera
07546;Gera
07548;Gera
07549;Gera
07551;Gera
07552;Gera
07554;Gera
07557;Gera
07570;Endsch??tz
07580;Gauern
07586;Hartmannsdorf
07589;Lederhose
07607;Eisenberg
07613;Hartmannsdorf
07616;Graitschen
07619;Mertendorf
07629;Hermsdorf
07639;Tautenhain
07646;Eineborn
07743;Jena
07745;Jena
07747;Jena
07749;Jena
07751;Golmsdorf
07768;Eichenberg
07774;Frauenprie??nitz
07778;Hainichen
07806;Dreba
07819;Dreitzsch
07907;Dittersdorf
07919;Kirschkau
07922;Tanna
07924;E??bach
07926;Gefell
07927;Hirschberg
07929;Saalburg-Ebersdorf
07937;Langenwolschendorf
07950;Wei??endorf
07952;Pausa
07955;Auma-Weidatal
07957;Langenwetzendorf
07958;Hohenleuben
07973;Greiz
07980;K??hdorf
07985;Elsterberg
07987;Mohlsdorf-Teichwolframsdorf
08056;Zwickau
08058;Zwickau
08060;Zwickau
08062;Zwickau
08064;Zwickau
08066;Zwickau
08107;Hartmannsdorf
08112;Wilkau-Ha??lau
08115;Lichtentanne
08118;Hartenstein
08132;M??lsen
08134;Langenwei??bach
08141;Reinsdorf
08144;Hirschfeld
08147;Crinitzberg
08209;Auerbach
08223;Falkenstein
08228;Rodewisch
08233;Eich
08236;Ellefeld
08237;Steinberg
08239;Oberlauterbach
08248;Klingenthal
08258;Markneukirchen
08261;Sch??neck
08262;Muldenhammer
08267;Zwota
08280;Aue
08289;Schneeberg
08294;L????nitz
08297;Zw??nitz
08301;Bad Schlema
08304;Sch??nheide
08309;Eibenstock
08315;Lauter-Bernsbach
08321;Zschorlau
08324;Bockau
08328;St??tzengr??n
08340;Schwarzenberg
08344;Gr??nhain-Beierfeld
08349;Johanngeorgenstadt
08352;Raschau-Markersbach
08359;Breitenbrunn
08371;Glauchau
08373;Remse
08393;Meerane
08396;Oberwiera
08412;Werdau
08427;Fraureuth
08428;Langenbernsdorf
08451;Crimmitschau
08459;Neukirchen
08468;Heinsdorfergrund
08485;Lengenfeld
08491;J??gerhaus
08496;Neumark
08499;Mylau
08523;Plauen
08525;Kauschwitz
08527;Neundorf
08529;Plauen
08538;Weischlitz
08539;Kornbach
08541;Gro??friesen
08543;P??hl
08547;J????nitz
08548;Syrau
08606;Dro??dorf
08626;Eichigt
08645;Bad Elster
08648;Bad Brambach
09111;Chemnitz
09112;Chemnitz
09113;Chemnitz
09114;Chemnitz
09116;Chemnitz
09117;Chemnitz
09119;Chemnitz
09120;Chemnitz
09122;Chemnitz
09123;Chemnitz
09125;Chemnitz
09126;Chemnitz
09127;Chemnitz
09128;Chemnitz
09130;Chemnitz
09131;Chemnitz
09212;Limbach-Oberfrohna
09217;Burgst??dt
09221;Neukirchen
09224;Chemnitz
09228;Chemnitz
09232;Hartmannsdorf
09235;Burkhardtsdorf
09236;Clau??nitz
09241;M??hlau
09243;Niederfrohna
09244;Lichtenau
09247;Chemnitz
09249;Taura
09306;Doberenz
09322;Penig
09326;Geringswalde
09328;Lunzenau
09337;Hohenstein-Ernstthal
09350;Lichtenstein
09353;Oberlungwitz
09355;Gersdorf
09356;St. Egidien
09366;Niederdorf
09376;Oelsnitz
09380;Thalheim
09385;Lugau
09387;Jahnsdorf
09390;Gornsdorf
09392;Auerbach
09394;Hohndorf
09399;Niederw??rschnitz
09405;Gornau
09419;Thum
09423;Gelenau
09427;Ehrenfriedersdorf
09429;Falkenbach
09430;Drebach
09432;Gro??olbersdorf
09434;Krumhermersdorf
09437;Witzschdorf
09439;Amtsberg
09456;Mildenau
09465;Sehmatal-Cranzahl
09468;Geyer
09471;K??nigswalde
09474;Walthersdorf
09477;Grumbach
09481;Elterlein
09484;Kurort Oberwiesenthal
09487;Schlettau
09488;Thermalbad Wiesenbad
09496;Marienberg
09509;Pockau
09514;Lengefeld
09518;Gro??r??ckerswalde
09526;Heidersdorf
09544;Neuhausen
09548;Deutschneudorf
09557;Fl??ha
09569;Oederan
09573;Dittmannsdorf
09575;Eppendorf
09577;Niederwiesa
09579;Gr??nhainichen
09599;Freiberg
09600;Obersch??na
09603;Gro??schirma
09618;Gro??hartmannsdorf
09619;Dorfchemnitz
09623;Frauenstein
09627;Bobritzsch-Hilbersdorf
09629;Dittmannsdorf
09633;Halsbr??cke
09634;Hirschfeld
09638;Lichtenberg
09648;Kriebstein
09661;Hainichen
09669;Frankenberg
10115;Berlin
10117;Berlin
10119;Berlin
10178;Berlin
10179;Berlin
10243;Berlin
10245;Berlin
10247;Berlin
10249;Berlin
10315;Berlin
10317;Berlin
10318;Berlin
10319;Berlin
10365;Berlin
10367;Berlin
10369;Berlin
10405;Berlin
10407;Berlin
10409;Berlin
10435;Berlin
10437;Berlin
10439;Berlin
10551;Berlin
10553;Berlin
10555;Berlin
10557;Berlin
10559;Berlin
10585;Berlin
10587;Berlin
10589;Berlin
10623;Berlin
10625;Berlin
10627;Berlin
10629;Berlin
10707;Berlin
10709;Berlin
10711;Berlin
10713;Berlin
10715;Berlin
10717;Berlin
10719;Berlin
10777;Berlin
10779;Berlin
10781;Berlin
10783;Berlin
10785;Berlin
10787;Berlin
10789;Berlin
10823;Berlin
10825;Berlin
10827;Berlin
10829;Berlin
10961;Berlin
10963;Berlin
10965;Berlin
10967;Berlin
10969;Berlin
10997;Berlin
10999;Berlin
12043;Berlin
12045;Berlin
12047;Berlin
12049;Berlin
12051;Berlin
12053;Berlin
12055;Berlin
12057;Berlin
12059;Berlin
12099;Berlin
12101;Berlin
12103;Berlin
12105;Berlin
12107;Berlin
12109;Berlin
12157;Berlin
12159;Berlin
12161;Berlin
12163;Berlin
12165;Berlin
12167;Berlin
12169;Berlin
12203;Berlin
12205;Berlin
12207;Berlin
12209;Berlin
12247;Berlin
12249;Berlin
12277;Berlin
12279;Berlin
12305;Berlin
12307;Berlin
12309;Berlin
12347;Berlin
12349;Berlin
12351;Berlin
12353;Berlin
12355;Berlin
12357;Berlin
12359;Berlin
12435;Berlin
12437;Berlin
12439;Berlin
12459;Berlin
12487;Berlin
12489;Berlin
12524;Berlin
12526;Berlin
12527;Berlin
12529;Sch??nefeld
12555;Berlin
12557;Berlin
12559;Berlin
12587;Berlin
12589;Berlin
12619;Berlin
12621;Berlin
12623;Berlin
12627;Berlin
12629;Berlin
12679;Berlin
12681;Berlin
12683;Berlin
12685;Berlin
12687;Berlin
12689;Berlin
13051;Berlin
13053;Berlin
13055;Berlin
13057;Berlin
13059;Berlin
13086;Berlin
13088;Berlin
13089;Berlin
13125;Berlin
13127;Berlin
13129;Berlin
13156;Berlin
13158;Berlin
13159;Berlin
13187;Berlin
13189;Berlin
13347;Berlin
13349;Berlin
13351;Berlin
13353;Berlin
13355;Berlin
13357;Berlin
13359;Berlin
13403;Berlin
13405;Berlin
13407;Berlin
13409;Berlin
13435;Berlin
13437;Berlin
13439;Berlin
13465;Berlin
13467;Berlin
13469;Berlin
13503;Berlin
13505;Berlin
13507;Berlin
13509;Berlin
13581;Berlin
13583;Berlin
13585;Berlin
13587;Berlin
13589;Berlin
13591;Berlin
13593;Berlin
13595;Berlin
13597;Berlin
13599;Berlin
13627;Berlin
13629;Berlin
14050;Berlin
14052;Berlin
14053;Berlin
14055;Berlin
14057;Berlin
14059;Berlin
14089;Berlin
14109;Berlin
14129;Berlin
14163;Berlin
14165;Berlin
14167;Berlin
14169;Berlin
14193;Berlin
14195;Berlin
14197;Berlin
14199;Berlin
14467;Potsdam
14469;Potsdam
14471;Potsdam
14473;Potsdam
14476;Potsdam
14478;Potsdam
14480;Potsdam
14482;Potsdam
14513;Teltow
14532;Kleinmachnow
14542;Werder
14547;Beelitz
14548;Schwielowsee
14550;Gro?? Kreutz
14552;Michendorf
14554;Seddiner See
14558;Nuthetal
14612;Falkensee
14621;Sch??nwalde-Glien
14624;Dallgow-D??beritz
14641;Nauen
14656;Brieselang
14662;Friesack
14669;Ketzin
14712;Rathenow
14715;Havelaue
14727;Premnitz
14728;Rhinow
14770;Brandenburg
14772;Brandenburg
14774;Brandenburg
14776;Brandenburg
14778;Golzow
14789;Rosenau
14793;Gr??ben
14797;Kloster Lehnin
14798;Havelsee
14806;Kranepuhl
14822;Linthe
14823;Garrey
14827;Wiesenburg
14828;G??rzke
14913;Gr??fendorf
14929;Treuenbrietzen
14943;Luckenwalde
14947;Nuthe-Urstromtal
14959;Trebbin
14974;Ludwigsfelde
14979;Friederikenhof
15230;Frankfurt
15232;Frankfurt
15234;Frankfurt
15236;Frankfurt
15295;Gro?? Lindow
15299;Mixdorf
15306;Falkenhagen
15320;Neuhardenberg
15324;Letschin
15326;Lebus
15328;Golzow
15344;Strausberg
15345;Eggersdorf
15366;Neuenhagen
15370;Petershagen
15374;M??ncheberg
15377;M??rkische H??he
15378;Hennickendorf
15517;F??rstenwalde
15518;Langewahl
15526;Reichenwalde
15528;Spreenhagen
15537;Erkner
15562;R??dersdorf
15566;Sch??neiche
15569;Woltersdorf
15711;K??nigs Wusterhausen
15712;K??nigs Wusterhausen
15713;K??nigs Wusterhausen
15732;Eichwalde
15738;Zeuthen
15741;Bestensee
15745;Wildau
15746;Gro?? K??ris
15748;M??rkisch Buchholz
15749;Mittenwalde
15754;Heidesee
15755;Egsdorf
15757;Halbe
15806;Zossen
15827;Blankenfelde-Mahlow
15831;Diedersdorf
15834;Rangsdorf
15837;Baruth
15838;Am Mellensee
15848;Friedland
15859;Storkow
15864;Diensdorf-Radlow
15868;Jamlitz
15890;Eisenh??ttenstadt
15898;Lawitz
15907;L??bben
15910;Schlepzig
15913;Neu Zauche
15926;Luckau
15936;Ihlow
15938;Drahnsdorf
16225;Eberswalde
16227;Eberswalde
16230;Melchow
16244;Schorfheide
16247;Friedrichswalde
16248;Hohenfinow
16259;Falkenberg
16269;Wriezen
16278;Mark Landin
16303;Schwedt
16306;Passow
16307;Gartz
16321;R??dnitz
16341;Panketal
16348;Marienwerder
16356;Werneuchen
16359;Biesenthal
16515;Oranienburg
16540;Hohen Neuendorf
16547;Birkenwerder
16548;Glienicke
16552;Schildow
16556;Hohen Neuendorf
16559;Liebenwalde
16562;Hohen Neuendorf
16567;M??hlenbeck
16727;Oberkr??mer
16761;Hennigsdorf
16766;Kremmen
16767;Leegebruch
16775;Gransee
16792;Zehdenick
16798;F??rstenberg
16816;Neuruppin
16818;Deutschhof
16827;Krangen
16831;Gro??zerlang
16833;Fehrbellin
16835;Dierberg
16837;Dorf Zechlin
16845;Dreetz
16866;D??llen
16868;Wusterhausen
16909;Heiligengrabe
16928;Gerdshagen
16945;Halenbeck-Rohlsdorf
16949;Putlitz
17033;Neubrandenburg
17034;Neubrandenburg
17036;Neubrandenburg
17039;Neddemin
17087;Altentreptow
17089;Gnevkow
17091;Gro?? Teetzleben
17094;Gro?? Nemerow
17098;Friedland
17099;Galenbeck
17109;Demmin
17111;Hohenbollentin
17121;G??rmin
17126;Jarmen
17129;Kruckow
17139;Duckow
17153;Galenbeck
17154;Neukalen
17159;Dargun
17166;Gro?? Roge
17168;Gro?? W??stenfelde
17179;Finkenthal
17192;Gro?? Dratow
17194;Grabowh??fe
17207;Gotthun
17209;Fincken
17213;G??hren-Lebbin
17214;Nossentiner H??tte
17217;Penzlin
17219;Klockow
17235;Neustrelitz
17237;Godendorf
17248;L??rz
17252;Mirow
17255;Priepert
17258;Feldberger Seenlandschaft
17268;Flieth-Stegelitz
17279;Lychen
17291;G??ritz
17309;Fahrenwalde
17321;L??cknitz
17322;Glasow
17326;Br??ssow
17328;Gr??nz
17329;Krackow
17335;Strasburg
17337;Gro?? Luckow
17348;Petersdorf
17349;Gro?? Miltzow
17358;Hammer
17367;Eggesin
17373;Ueckerm??nde
17375;Grambin
17379;Ferdinandshof
17389;Anklam
17390;Gro?? Polzin
17391;Iven
17392;Neuenkirchen
17398;Ducherow
17406;Morgenitz
17419;Garz
17424;Ostseebad Heringsdorf
17429;Katschow
17438;Wolgast
17440;Kr??slin
17449;Karlshagen
17454;Zinnowitz
17459;Koserow
17489;Greifswald
17491;Greifswald
17493;Greifswald
17495;Gro?? Kiesow
17498;Diedrichshagen
17506;Gribow
17509;Hanshagen
18055;Rostock
18057;Rostock
18059;Papendorf
18069;Lambrechtshagen
18106;Rostock
18107;Elmenhorst/Lichtenhagen
18109;Rostock
18119;Rostock
18146;Rostock
18147;Rostock
18181;Graal-M??ritz
18182;Gelbensande
18184;Klein Kussewitz
18190;Sanitz
18195;Gnewitz
18196;Dummerstorf
18198;Kritzmow
18209;Hohenfelde
18211;Forsthaus Ivendorf
18225;K??hlungsborn
18230;Gersdorf
18233;J??rnstorf
18236;Kr??pelin
18239;Satow
18246;Friedrichshof
18249;Dreetz
18258;Kassow
18273;G??strow
18276;Glasewitz
18279;Lalendorf
18292;Hoppenrade
18299;Diekhof
18311;Ribnitz-Damgarten
18314;Divitz-Spoldershagen
18317;Saal
18320;Schlemmin
18334;Eixen
18337;Marlow
18347;Dierhagen
18356;Fuhlendorf
18374;Zingst
18375;Ostseebad Prerow
18435;Stralsund
18437;Stralsund
18439;Stralsund
18442;Gro?? Kordshagen
18445;Gro?? Mohrdorf
18461;Franzburg
18465;Drechow
18469;Karnin
18507;Grimmen
18510;Elmenhorst
18513;Deyelsdorf
18516;S??derholz
18519;Sundhagen
18528;Lietzow
18546;Sassnitz
18551;Glowe
18556;Dranske
18565;Insel Hiddensee
18569;Gingst
18573;Dreschvitz
18574;Garz
18581;Putbus
18586;Gager
18609;Ostseebad Binz
19053;Schwerin
19055;Schwerin
19057;Schwerin
19059;Schwerin
19061;Schwerin
19063;Schwerin
19065;Gneven
19067;Langen Br??tz
19069;Klein Trebbow
19071;Grambow
19073;D??mmer
19075;Holthusen
19077;L??besse
19079;Goldenst??dt
19086;Plate
19089;Friedrichsruhe
19205;Dragun
19209;Gottesgabe
19217;Gro?? Hundorf
19230;Gammelin
19243;Wittenburg
19246;Kogel
19249;L??btheen
19258;Gallin
19260;Vellahn
19273;Gro?? K??hren
19288;Glaisin
19294;Eldena
19300;Grabow
19303;D??mitz
19306;Neustadt-Glewe
19309;Eldenburg
19322;Garsedow
19336;Legde/Quitz??bel
19339;Plattenburg
19348;D??pow
19357;Karst??dt
19370;Parchim
19372;Drefahl
19374;Doms??hl
19376;Marnitz
19386;Gischow
19395;Ganzlin
19399;Dobbertin
19406;Dinnies
19412;Friedrichswalde
19417;Gro?? Labenz
20095;Hamburg
20097;Hamburg
20099;Hamburg
20144;Hamburg
20146;Hamburg
20148;Hamburg
20149;Hamburg
20249;Hamburg
20251;Hamburg
20253;Hamburg
20255;Hamburg
20257;Hamburg
20259;Hamburg
20354;Hamburg
20355;Hamburg
20357;Hamburg
20359;Hamburg
20457;Hamburg
20459;Hamburg
20535;Hamburg
20537;Hamburg
20539;Hamburg
21029;Hamburg
21031;Hamburg
21033;Hamburg
21035;Hamburg
21037;Hamburg
21039;Escheburg
21073;Hamburg
21075;Hamburg
21077;Hamburg
21079;Hamburg
21107;Hamburg
21109;Hamburg
21129;Hamburg
21147;Hamburg
21149;Hamburg
21217;Seevetal
21218;Seevetal
21220;Seevetal
21224;Rosengarten
21227;Bendestorf
21228;Harmstorf
21244;Buchholz
21255;Dohren
21256;Handeloh
21258;Heidenau
21259;Otter
21261;Welle
21266;Jesteburg
21271;Hanstedt
21272;Egestorf
21274;Undeloh
21279;Drestedt
21335;L??neburg
21337;L??neburg
21339;L??neburg
21354;Bleckede
21357;Wittorf
21358;Mechtersen
21360;V??gelsen
21365;Adendorf
21368;Boitze
21369;Nahrendorf
21371;Tosterglope
21376;Eyendorf
21379;Echem
21380;Artlenburg
21382;Brietlingen
21385;Oldendorf
21386;Betzendorf
21388;Soderstorf
21391;L??neburg
21394;Kirchgellersen
21395;Tespe
21397;Vastorf
21398;Neetze
21400;Reinstorf
21401;Thomasburg
21403;Wendisch Evern
21406;Melbeck
21407;Deutsch Evern
21409;Embsen
21423;Drage
21435;Stelle
21436;Marschacht
21438;Brackel
21439;Marxen
21441;Garstedt
21442;Toppenstedt
21444;Einemhof
21445;Wulfsen
21447;Handorf
21449;Radbruch
21465;Reinbek
21481;Lauenburg
21483;G??lzow
21493;Elmenhorst
21502;Geesthacht
21509;Glinde
21514;Fitzen
21516;M??ssen
21521;Friedrichsruh
21522;Hittbergen
21524;Brunstorf
21526;Hohenhorn
21527;Kollow
21529;Kr??ppelshagen-Fahrendorf
21614;Buxtehude
21629;Neu Wulmstorf
21635;Jork
21640;Horneburg
21641;Apensen
21643;Beckdorf
21644;Sauensiek
21646;Halvesbostel
21647;Moisburg
21649;Regesbostel
21680;Stade
21682;Stade
21683;Stade
21684;Stade
21698;Harsefeld
21702;Ahlerstedt
21706;Drochtersen
21709;D??denb??ttel
21710;Engelschoff
21712;Gro??enw??rden
21714;Hammah
21717;Fredenbeck
21720;Gr??nendeich
21723;Hollern-Twielenfleth
21726;Heinbockel
21727;Estorf
21729;Freiburg
21730;Balje
21732;Krummendeich
21734;Hollerdeich
21737;Wischhafen
21739;Dollern
21745;Hemmoor
21755;Hechthausen
21756;Osten
21762;Osterbruch
21763;Neuenkirchen
21765;Nordleda
21769;Hollnseth
21770;Mittelstenahe
21772;Stinstedt
21775;Ihlienworth
21776;Wanna
21781;Cadenberge
21782;B??lkau
21784;
21785;Neuhaus
21787;Oberndorf
21789;Wingst
22041;Hamburg
22043;Hamburg
22045;Hamburg
22047;Hamburg
22049;Hamburg
22081;Hamburg
22083;Hamburg
22085;Hamburg
22087;Hamburg
22089;Hamburg
22111;Hamburg
22113;Hamburg
22115;Hamburg
22117;Hamburg
22119;Hamburg
22143;Hamburg
22145;Hamburg
22147;Hamburg
22149;Hamburg
22159;Hamburg
22175;Hamburg
22177;Hamburg
22179;Hamburg
22297;Hamburg
22299;Hamburg
22301;Hamburg
22303;Hamburg
22305;Hamburg
22307;Hamburg
22309;Hamburg
22335;Hamburg
22337;Hamburg
22339;Hamburg
22359;Hamburg
22391;Hamburg
22393;Hamburg
22395;Hamburg
22397;Hamburg
22399;Hamburg
22415;Hamburg
22417;Hamburg
22419;Hamburg
22453;Hamburg
22455;Hamburg
22457;Hamburg
22459;Hamburg
22523;Hamburg
22525;Hamburg
22527;Hamburg
22529;Hamburg
22547;Hamburg
22549;Hamburg
22559;Hamburg
22587;Hamburg
22589;Hamburg
22605;Hamburg
22607;Hamburg
22609;Hamburg
22761;Hamburg
22763;Hamburg
22765;Hamburg
22767;Hamburg
22769;Hamburg
22844;Norderstedt
22846;Norderstedt
22848;Norderstedt
22850;Norderstedt
22851;Norderstedt
22869;Schenefeld
22880;Wedel
22885;Barsb??ttel
22889;Tangstedt
22926;Ahrensburg
22927;Gro??hansdorf
22929;Hamfelde, Kr Hzgt Lauenburg
22941;Hammoor
22946;Grande
22949;Ammersbek
22952;L??tjensee
22955;Hoisdorf
22956;Gr??nwohld
22958;Kuddew??rde
22959;Linau
22961;Oetjendorf
22962;Siek
22964;Steinburg
22965;Todendorf
22967;Tremsb??ttel
22969;Witzhave
23552;L??beck
23554;L??beck
23556;L??beck
23558;L??beck
23560;L??beck
23562;L??beck
23564;L??beck
23566;L??beck
23568;L??beck
23569;L??beck
23570;L??beck
23611;Sereetz
23617;Stockelsdorf
23619;Goldenerhahn
23623;Jeshop
23626;Ratekau
23627;Gro?? Gr??nau
23628;Klempau
23629;Sarkwitz
23669;Neuhof
23683;Scharbeutz
23684;Scharbeutz
23689;Hobbersdorf
23701;Eutin
23714;Kirchn??chel
